"Category Name","Category Status","Feature Name","Feature Status",Notes,"Feature ID",Importance,"Times per Year","Cost per time","Hours per time","Feature EOI"
"Contact Database",Notrequired,"Contact Database can include both member and non-member details",No,,1,"Nice to have",,,,
"Contact Database",Notrequired,"The data that needs to be stored for each contact can be configured",No,,2,"Nice to have",,,,
"Contact Database",Notrequired,"The Contact Database provides multiple levels of hierarchy e.g. Organisation, Division, Contact",No,,3,"Nice to have",,,,
"Contact Database",Notrequired,"The Contact Database can be searched, filtered and segmented in a number of different ways",No,,9,"Nice to have",,,,
"Contact Database",Notrequired,"Via the Contact Database a person\'s complete relationship with the organisation can be viewed e.g. membership(s), event registrations, online store purchases, email communications",No,,10,"Nice to have",,,,
"Contact Database",Notrequired,"Subsets of the Contact Database can be exported for use externally",No,,75,"Nice to have",,,,
"Membership management",Notrequired,"Membership pricing can be configured including early bird discounts, joining fee, late fee",No,,4,"Nice to have",,,,
"Membership management",Notrequired,"Pro-rata membership pricing is available for a number of time periods, e.g. daily, quarterly",No,,11,"Nice to have",,,,
"Membership management",Notrequired,"Memberships can be administered and reported by subsets (e.g. by division or state)",No,,12,"Nice to have",,,,
"Membership management",Notrequired,"Membership bestows post-nominals on member",No,,77,"Nice to have",,,,
"Membership management",Notrequired,"Memberships can be processed through a number of different statuses reflecting the organisation\'s administration processes",No,,13,"Nice to have",,,,
"Membership management",Notrequired,"A range of membership related reports are available",No,,76,"Nice to have",,,,
"Membership Application",Notrequired,"Members can elect to include optional extras to their application e.g. sign up for Special Interest Groups",No,,79,"Nice to have",,,,
"Membership Application",Notrequired,"Individuals can apply for membership",No,,5,"Nice to have",,,,
"Membership Application",Notrequired,"Where appropriate fees can be paid via the website",No,,14,"Nice to have",,,,
"Membership Application",Notrequired,"Corporations can apply for membership and nominate employees to receive membership benefits",No,,15,"Nice to have",,,,
"Membership Application",Notrequired,"A range of membership types are supported",No,,16,"Nice to have",,,,
"Membership Application",Notrequired,"Automated communications to applicant through application workflow are supported -e.g. application acknowledge, application approval",No,,78,"Nice to have",,,,
"Membership Application",Notrequired,"Different memberships require different application forms",No,,80,"Nice to have",,,,
"Membership renewal",Notrequired,"Automated communications to member through renewal workflow are supported -e.g. renewal reminder, renewal acknowledgement",No,,6,"Nice to have",,,,
"Membership renewal",Notrequired,"Payments for renewals collected online, and invoices generated",No,,17,"Nice to have",,,,
"Membership renewal",Notrequired,"Early Bird renewal pricing is available",No,,81,"Nice to have",,,,
"Membership renewal",Notrequired,"Early Bird renewal pricing is available",No,,18,"Nice to have",,,,
"Membership renewal",Notrequired,"Members can upgrade/downgrade their membership level",No,,82,"Nice to have",,,,
"Membership renewal",Notrequired,"Renewals are open for a defined period of time",No,,83,"Nice to have",,,,
